,job_title,company_name,url,job_location,job_time_posted,job_applicants_applied,job_role,job_details
0,Software Developer (Vietnam),Azeus Systems Limited,https://www.linkedin.com/jobs/view/4123629379/eBP=NON_CHARGEABLE_CHANNEL&refId=MQcBiOJ9ytkrKHb6VcZQqw%3D%3D&trackingId=ByLInRdPuf2Bg4dh1Tm6rA%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 months ago,Over 100 people clicked apply,"On-site,Full-time","responsibilities: full stack systems development,technical investigation/research, risk assessment, estimation, and recommendation,development of prototypes and proof-of-concept applications for technical proposals and demos,program documentation,product maintenance, support, and enhancement,troubleshoot and debug existing systems,system migration and upgrade,qualifications:,bachelors degree in computer sciences, computer engineering, or any course related to information technology, engineering, and mathematics.,excellent programming and problem-solving skills,ability to develop software in java or other enterprise programming languages,ability to contribute to different phases of the software development life cycle (sdlc) or product development,ability to communicate in english, verbal and written, in a concise and clear manner,fast learner, detail-oriented,able to work under pressure,self-managing and able to collaborate with offsite team members,can render extra hours whenever necessary,(fresh graduates are encouraged to apply),what's in it for you:,competitive salary package,exposure to a variety of technologies and roles,abundant opportunities to upskill and grow on the job,being part of a global team of competent it professionals,being part of the companys continuous growth and r&d on new technologies,an environment focused on quality and streamlined processes: cmmi level 5,family-like work environment,semi-flexible work schedule"
1,Solutions Engineer Intern,Ematic Solutions,https://www.linkedin.com/jobs/view/4187296750/eBP=NON_CHARGEABLE_CHANNEL&refId=MQcBiOJ9ytkrKHb6VcZQqw%3D%3D&trackingId=5i%2FjD80PFPLWMfVdyxIW2w%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,83 people clicked apply,Internship,"about us,ematic solutions is a marketing and technology consultancy that helps b2c companies build a fully integrated, high-roi digital ecosystem. we are a team of digital marketers, engineers, designers, copywriters, operations specialists, and customer success practitioners spread across the world.,weơre entrepreneurial team players who take personal accountability for our business, our customers and ourselves.,what's the gig,apply your knowledge and experience in a real business setting in a tech startup,be part of challenging assignments and internal projects,assist in any customer/technical support related matter,perform other related functions that may be assigned by your manager,responsible for ad-hoc assignment, function and other related duties specified by your manager,what weơre looking for,available for a full time internship (minimum 3 months or 6 months),fresh graduate / currently pursuing a bachelor or higher degree in information technology in a recognized institution of higher learning, with good academic achievements,a fast and continuous learner, especially in this fast changing technology driven environment,detail oriented and highly organized,ability to prioritize, multi-task, and perform effectively under pressure,have a strong interest in problem solving translated from data .,a good team player and aims to continue improving with the team and also able to work within and cross departments,have basic knowledge on microsoft office and google suite,what we offer,be exposed to and grow your knowledge across the digital marketing ecosystem, including performance marketing, seo, content marketing, crm and more,competitive pay with an attractive, long-term compensation model,a flat and open culture that nurtures entrepreneurism and wants to unlock the best version of you.,work with a diverse team of smart people who are also fun after work.,opportunity to interact with colleagues from different countries and cultures.,ematic solutions - website | ematic solutions - linkedin"
2,Software Engineer (Retail Media Integration),Epsilo.ai,https://www.linkedin.com/jobs/view/4196242357/eBP=NON_CHARGEABLE_CHANNEL&refId=MQcBiOJ9ytkrKHb6VcZQqw%3D%3D&trackingId=UcyEvX%2BgvxLN2PnrB4YMpg%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",5 days ago,8 people clicked apply,"$1,800/month - $3,500/month,On-site,Full-time","epsilo in a nutshell,we develop a closed-loop platform empowering brands and agencies to stay on top of the market trends, monitor digital shelf, automate campaigns, and leverage operational insights for digital commerce growth.,our,platform,serves a varied client including leaders, operators, and scientists in media, marketing, and e-commerce teams across brands, digital agencies, e-commerce enablers, and marketplaces, facilitating efficient revenue generation on retail media network, a $100b category that will dominate the digital advertising for a decade.,we earn a track record of facilitating over $3 billion in gmv, optimizing more than $200 million in media spend, and catering to clients in over 10 countries worldwide.,recognized in gartner's market guide for digital shelf analytics alongside 15 other leading global saas companies from the us, europe, and india.,our aspiration is to develop a positional software that simply change the way that advertisers gather insights and make decisions. a combination of notion and the trade desk.,backed by ̉surge by peak xv partneró.,tasks,we are seeking a highly skilled software engineer to join our team and take ownership of the integration between our platform and retail media channels. the ideal candidate will have a strong background in software development, with expertise in building robust and scalable integrations that connect disparate systems and data sources.,design, develop, and maintain integrations between epsiloơs platform and various retail media channels, such as e-commerce platforms, advertising networks, and data providers.,collaborate with cross-functional teams, including product management, sales, and customer success, to understand integration requirements and prioritize development efforts.,architect scalable and resilient integration solutions that ensure seamless data exchange and real-time communication between epsiloơs platform and external systems.,implement best practices for data synchronization, transformation, and validation to ensure data integrity and accuracy across integrated systems.,monitor integration performance and troubleshoot issues as they arise, working closely with internal teams and external partners to resolve technical challenges in a timely manner.,requirements,more than 4 years of experience working with java or python,have worked on at least 3 years in bank, e-commerce, logistics domain, is an advantage,having experience in charge of frontend: basic (html,javascript, jquery),proficient in using database management systems (mysql, singlestore, elasticsearch, apache ignite,é),experience with data processing: apache kafka, apache flink,é,good problem-solving skills and business logic thinking,experience working in groups (3-5 people),benefits,14 days annual leave per year, allowing ample time to rest and recharge,comprehensive pvi insurance coverage after passing probation,complimentary lunch & parking for convenience,team bonding activities with a budget of $20 per person per month,exciting company trip annually to foster team spirit,state-of-the-art company laptop provided for your professional use,technical skills assessment,: candidates will receive an assessment via email, which must be completed within the specified timeframe.,first interview,: this interview will be conducted by manager, and will focus on evaluating your technical expertise and problem-solving abilities.,second interview,: conducted by ceo, this interview will involve an in-depth discussion of your past project experiences and future professional aspirations.,desired skills and experience,python,java,big data,intergrate"
3,Odoo Developer,VietData AI,https://www.linkedin.com/jobs/view/4199370063/eBP=NON_CHARGEABLE_CHANNEL&refId=MQcBiOJ9ytkrKHb6VcZQqw%3D%3D&trackingId=0VdkG8sHGYq95lV1yaL2tA%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",1 day ago,10 applicants,"On-site,Full-time,0 of 10 skills match Required skills are missing from your profile,0 of 10 skills match","job description:,weơre looking for a fresher odoo developer who is passionate about business systems and ready to grow in a real product environment. youơll join our technical team to support the customization, development, and deployment of odoo erp solutions, with a focus on healthcare clients such as clinics, spas, and wellness centers.,this is an ideal role for someone whoơs technically curious, eager to learn fast, and looking to make real impact from day one., customize, configure, and develop odoo modules (sales, crm, pos, accounting, inventory, hrm, etc.) based on project needs., participate in full project lifecycle: requirement gathering, development, testing, deployment, and support., work with the team to develop tailored solutions for clients in the healthcare sector (clinics, spas, wellness centers)., integrate odoo with third-party systems using apis/web services., debug and maintain existing modules., write clean, reusable code and proper documentation., support team in client training and demo sessions.,candidate requirements:, solid understanding of python and willingness to learn the odoo framework., basic knowledge of oop, mvc architecture, and postgresql., familiar with erp concepts and business workflows is a plus., good problem-solving and communication skills., ability to work in a team and open to feedback., priority given to candidates with internship or freelance experience in deploying systems for spa/clinic/wellness businesses.,benefits:, hands-on experience with real projects and client systems., direct mentorship from senior odoo developers and business analysts., clear career roadmap to become crm / erp developer or functional consultant., dynamic, supportive team environment., competitive fresher salary, performance-based bonus., flexible working hours and hybrid options available."
4,C/C++ Developer (Open for Talent Fresher),FPT Software,https://www.linkedin.com/jobs/view/4193707745/eBP=NON_CHARGEABLE_CHANNEL&refId=MQcBiOJ9ytkrKHb6VcZQqw%3D%3D&trackingId=zFQJowe%2Fr9iROAgOz8nVZA%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",4 days ago,36 applicants,"On-site,Full-time,0 of 10 skills match Required skills are missing from your profile,0 of 10 skills match","responsibilities,participate in the development of the company service project.,collaborate in a team environment to design, develop, and deliver reliable software solutions for customers.,design, develop, document, analyze, test, integrate, debug, research, and integrate new architectural features into existing infrastructures.,verify that developed product features are thoroughly implemented, meeting all specified requirements.,continue to learn new technologies, introduce existing products, improve the product experience and create more value.,qualifications,educational background:,bachelor's degree or higher in computer science, engineering, or a related field.,professional experience:,at least 1 year of software development experience with a significant focus on c++ and windows applications.,strong background in designing and developing desktop applications on the windows platform.,technical skills:,expert knowledge of c++ with strong understanding of the standard library, stl containers, and algorithms.,experience with windows api and windows services.,proficiency with microsoft visual studio and the windows sdk.,experience with user interface design and development in windows.,knowledge of threading, sockets, and inter-process communication (ipc).,familiarity with code versioning tools such as git.,experience with continuous integration and deployment environments.,personal skills:,strong analytical and problem-solving skills.,excellent written and verbal communication skills.,ability to work independently and in a team environment.,strong attention to detail and a commitment to delivering high-quality software.,benefits,successful candidates will be part of a friendly, motivated and committed talent teams in fpt software hcm (fsoft) with various benefits and attractive offers:,successful candidates will be offered a friendly, motivated working environment.,get involve in major full-cycle project with large scale and opportunities to work directly with specialists and experts in system designing in japanese top corporations in producing medical devices.,̉fpt careó health insurance provided by pti and is exclusive for fpt employees.,company shuttle buses provide convenient way of transportation for all employees.,annual summer vacation: following companyơs policy and starts from may every year.,other allowances: transportation support by company bus, lunch allowance, working on- site allowance, etc. plus company support for housing in district 9.,f-town campus provide many facilities for fpt software employees such as football ground, basketball & volleyball, gym center, cafeteria, etc."
5,Coding Expertise for AI Training (Traditional Chinese),Outlier,https://www.linkedin.com/jobs/view/4200323783/eBP=NON_CHARGEABLE_CHANNEL&refId=MQcBiOJ9ytkrKHb6VcZQqw%3D%3D&trackingId=7rOy9Zb2kVSbEnc%2BeJsgsw%3D%3D&trk=flagship3_search_srp_jobs,Vietnam,4 hours ago,0 people clicked apply,"Remote,Contract","outlier helps the worldơs most innovative companies improve their ai models by providing human feedback. are you an experienced software engineer who would like to lend your coding expertise to train ai models,we partner with organizations to train ai large language models, helping cutting-edge generative ai models write better code. projects typically include discrete, highly variable problems that involve engaging with these models as they learn to code. there is no requirement for previous ai experience.,about the opportunity,outlier is looking for talented coders that also speak traditional chinese to help train generative artificial intelligence models,this freelance opportunity is remote and hours are flexible, so you can work whenever is best for you,you may contribute your expertise byé,crafting and answering questions related to computer science in order to help train ai models,evaluating and ranking code generated by ai models,examples of desirable expertise,currently enrolled in or completed a bachelor's degree or higher in computer science at a selective institution,proficiency working with one or more of the the following languages: java, python, javascript / typescript, c++, swift, and verilog,ability to articulate complex concepts fluently in traditional chinese,excellent attention to detail, including grammar, punctuation, and style guidelines,payment,currently, pay rates for core project work by coding experts range from usd $25 to $50 per hour.,rates vary based on expertise, skills assessment, location, project need, and other factors. for example, higher rates may be offered to phds. for non-core work, such as during initial project onboarding or project overtime phases, lower rates may apply. certain projects offer incentive payments. please review the payment terms for each project."
6,Data Engineer,Vietnam Silicon,https://www.linkedin.com/jobs/view/4190917455/eBP=NON_CHARGEABLE_CHANNEL&refId=dnYnlY1Nq4ZmsCaeHoTysw%3D%3D&trackingId=YCJBiWJyMQ%2Ba%2FF9kLA5ZQQ%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Vietnam",1 week ago,24 applicants,"On-site,Full-time","job brief,we are looking for a senior data engineer to join our team and help us build robust data infrastructure and solutions.,responsibilities,design, build, and maintain data pipelines, data warehouses, and data lakes to support business intelligence and analytics needs.,develop and implement scalable data architectures to handle large volumes of data.,collaborate with data scientists and analysts to support ai and machine learning initiatives.,ensure data quality, integrity, and security across all data platforms.,optimize data processes and performance to enhance efficiency and reliability.,work with cloud platforms (e.g., aws, azure, google cloud) to manage and deploy data solutions.,understand and implement hardware and cloud solutions for data and ai applications,stay up-to-date with the latest industry trends and technologies to continuously improve our data infrastructure,provide technical leadership and mentorship to junior data engineers.,requirements,must have,proven,5+ years experience,as a data engineer or similar role.,strong knowledge of data pipeline, data warehouse, and data lake architectures.,experience with business intelligence tools and techniques.,proficiency in programming languages such as python, sql, and java.,experience with ai and machine learning frameworks.,solid understanding of hardware and cloud solutions for data and ai.,excellent problem-solving skills and attention to detail.,effective communication skills to interact with different departments within the company, especially business and technical teams.,familiarity with data visualization tools (e.g., tableau, power bi, redash).,experience with big data technologies (e.g., hadoop, spark).,ability to analyze problems, find solutions, and make quick decisions.,fluent in english,with excellent communication and negotiation skills.,willingness to travel to client sites internationally.,prefer to have,domain knowledge: a solid understanding of the industry and the target market in digital transformation, information management system, e commerce and finance technologies.,ability to think creatively and find new ways to improve existing processes.,experience building ai-driven solutions."
7,Machine Learning Data Engineer,AS White Global,https://www.linkedin.com/jobs/view/4172804753/eBP=NON_CHARGEABLE_CHANNEL&refId=ruWNNJ4egDrNxumKLNTPKg%3D%3D&trackingId=PK6xtpi1jeUBSvqzH4j7sA%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",Reposted 1 week ago,42 people clicked apply,"Hybrid,Full-time","the opportunity,our client is a leading food manufacturer in australia and new zealand, with a workforce of over 6,000 employees operating across 60 sites. committed to innovation and quality, they play a vital role in delivering high-quality products to millions of consumers. the team makes some of australia & new zealand's favourite & most innovative products, living the core purpose of ôto delight people every day with the food they love!',as a machine learning data engineer, you will be at the forefront of developing and deploying,ai-driven solutions,that power business intelligence and automation. this role is an exciting opportunity to work with state-of-the-art,ai frameworks, cloud platforms, and mlops processes, ensuring that machine learning models are scalable, efficient, and seamlessly integrated into production environments. you will collaborate closely with data scientists, data engineers, and business teams to drive innovation and maximize the impact of ai solutions across the organization.,key responsibilities,build, train, and deploy scalable ml models using aws sagemaker, tensorflow, pytorch, and related frameworks.,automate ml workflows, ensuring minimal manual intervention and efficient model retraining and monitoring.,develop and optimize ml pipelines for real-time and batch processing.,implement mlops best practices, ensuring seamless model deployment, versioning, and monitoring.,collaborate with data engineers to integrate ml models into production environments.,ensure ai governance, compliance, and security standards are met.,troubleshoot ml model performance issues and optimize for efficiency and scalability.,skills, experience & qualification,bachelor's degree in business, computer science, information technology, or a related field.,5đ10 years of experience in machine learning model development and deployment.,proficiency in python and ml frameworks such as tensorflow, pytorch, or keras.,experience working with cloud platforms (aws preferred, azure, gcp).,strong understanding of ml model lifecycle, from training to production deployment.,hands-on experience with mlops tools (kubeflow, mlflow, aws sagemaker).,familiarity with big data technologies for ml (spark, hadoop, kafka).,strong problem-solving skills and ability to work in cross-functional teams.,excellent communication skills, with the ability to explain ml concepts to technical and non-technical stakeholders.,asw offers,a diverse, inclusive, and supportive company culture.,competitive remuneration.,opportunity to collaborate and work with global clients and stakeholders.,medical benefits.,great paid leave entitlements.,team outings, travel opportunities, company parties/events, and other exciting activities.,exposure to an international environment, working with people across malaysia, vietnam, the philippines, and australia.,industry and role-related training.,ongoing career opportunities."
8,Data & AI Consultant,SoftwareOne,https://www.linkedin.com/jobs/view/4191809509/eBP=NON_CHARGEABLE_CHANNEL&refId=ruWNNJ4egDrNxumKLNTPKg%3D%3D&trackingId=EREBb2n5cFEaTGIYrkAmSQ%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,32 people clicked apply,"Hybrid,Full-time","as an,ai solutions consultant,focusing on,generative ai (genai),in a presales capacity, you will serve as a trusted advisor to our clients and sales team. in this client-facing role, you help customers explore and define use cases for our genai solutions running on microsoft azure. you will bridge the gap between business needs and technical possibilities đ engaging with business decision-makers to understand their challenges and then showcasing how generative ai can deliver real value. this role does not require deep ai development expertise, but it,does,require a strong interest in genai technologies (e.g., openai, hugging face) and solid azure cloud experience. if you are passionate about the potential of genai and excel at communicating complex ideas in a clear, compelling way, this position offers a unique opportunity to combine your enthusiasm for ai with your consulting and presentation skills.,responsibilities:,client discovery & use case definition:,work closely with sales teams and customers to identify business challenges and potential genai use cases. ask probing questions to uncover needs and,define value propositions,where ai can make a meaningful impact.,presentations & demonstrations:,design and deliver engaging presentations and live demos of our generative ai solution. clearly articulate technical capabilities (e.g. how an ai model works) in,business-friendly terms, tailoring your message to both technical and non-technical stakeholders.,proposal & solution development:,assist in crafting customized proposals, proof-of-concepts (pocs), and solution outlines that align our offerings to the clientơs requirements. highlight the roi and business value of proposed genai solutions, ensuring decision-makers grasp the benefits.,technical advisory in sales cycle:,act as a trusted technical advisor during the sales process. address client questions about solution architecture, azure deployment, security, and integration. bridge conversations between customerơs it teams and business leaders to ensure all parties see the path to success.,stay current with genai trends:,continuously,stay up-to-date,on the rapidly evolving genai landscape đ from new azure ai services and openai model updates to emerging tools on hugging face. proactively share relevant insights and best practices with customers and internal teams to maintain our competitive edge.,cross-team collaboration:,collaborate with our engineering and delivery teams to ensure a smooth handoff from presales to implementation. communicate customer expectations, use case details, and scope clearly, helping to ensure the delivered solution meets the defined objectives.,feedback & continuous improvement:,provide feedback from client interactions to product management and leadership. offer insights into common customer needs or obstacles to help refine our genai offerings and go-to-market strategy over time.,job requirements,required skills & qualifications,azure cloud expertise:,strong hands-on experience with microsoft azure services and architecture. comfortable deploying and managing solutions in azure environments (experience working within customersơ azure tenants is a plus).,presales & consulting experience:,proven experience in a customer-facing technical role such as solutions consultant, sales engineer, or technical advisor. skilled at handling presales activities including discovery workshops, product demonstrations, and proposal development.,generative ai familiarity:,solid understanding of ai/ml concepts and enthusiastic interest in generative ai. exposure to platforms like,azure openai, azure foundry,or,similar platform,is highly valued đ you stay curious and continue to learn about new ai capabilities.,excellent communication:,exceptional presentation and storytelling skills. able to translate complex technical concepts into clear, impactful messages for business leaders, and conversely, convey business requirements to technical teams.,business acumen:,comfortable engaging with managers and executives to discuss their strategic objectives. able to identify how ai solutions can drive business value, improve processes, or create new opportunities.,problem-solving mindset:,proactive and creative in solving problems. capable of thinking on your feet during meetings and adapting to new information or questions.,team collaboration:,strong interpersonal skills with an ability to work cross-functionally. you can build trust with clients, work hand-in-hand with sales colleagues, and coordinate with technical teams smoothly.,education:,bachelorơs degree in computer science, information systems, engineering, or a related field (or equivalent professional experience). an advanced degree or relevant coursework in ai/ml is a bonus but not required.,preferred qualifications:,relevant azure certifications:,microsoft certified: azure fundamentals (az-900),azure solutions architect expert, and/or azure ai fundamentals (ai-900). these certifications demonstrate a strong foundation in azure cloud and ai services.,advanced cloud/ai certifications:,additional certifications such as,azure ai engineer associate,azure data scientist associate, or similar credentials in cloud architecture or data/ai are a plus.,azure ai services experience:,hands-on experience with azure ai and data services (e.g., azure openai service, cognitive services, azure machine learning) in a project or presales capacity.,generative ai tools:,familiarity with popular ai frameworks and tools đ for example, building demos or projects using openai apis, hugging face transformers, or other ai/ml libraries.,industry knowledge:,knowledge of industry trends in ai and experience applying technology solutions in one or more domains (finance, healthcare, retail, etc.) can be advantageous.,company description,softwareone is a leading global software and cloud solutions provider that is redefining how companies build, buy and handle everything in the cloud. by helping clients to migrate and modernize their workloads and applications đ and in parallel, to navigate and optimize the resulting software and cloud changes đ softwareone unlocks the value of technology. the companyơs 8,900 employees are driven to deliver a portfolio of 7,500 software brands with sales and delivery capabilities in 90 countries. headquartered in switzerland, softwareone is listed on the six swiss exchange under the ticker symbol swon. visit us at https://www.softwareone.com/en"
9,Data Engineer Intern - Work in Da Nang,Orient Software Development Corp.,https://www.linkedin.com/jobs/view/4199735544/eBP=NON_CHARGEABLE_CHANNEL&refId=ruWNNJ4egDrNxumKLNTPKg%3D%3D&trackingId=F1ar%2BzSPdNRLR%2FASgBM4Nw%3D%3D&trk=flagship3_search_srp_jobs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 day ago,23 people clicked apply,"On-site,Internship","responsibilities,research data tools to solve customers' requirements, provide solutions, estimation and implement tools, integration,build etl pipelines and data stores to handle data at scale,be able to design data warehouse or data mart,perform prescriptive statistics and analysis to develop insights, build models and solve business needs,requirements,last year student major in computer scienes or related field interested in data,have knowledge in sql and relational databases, query authoring,have knowledge in dwh design, visualization techniques,have experience python, powershell programming language is a plus,proactively identify business problems and areas for improvement through data analysis,be strong analytical thinking and great problem-solving skills,be proactive and effective self-learning and research skills,good english language skills in video conferencing and face to face communication,ability to thrive in a fast-paced work environment,full-time 3-month internship commitment,what we offer,attractive monthly allowance,premium healthcare package,opportunities to become official staff and join australia project,mentor 1-1 with exclusive training program,free breakfast and snacks,team-building allowance"
